Date first seen          Duration Proto      Src IP Addr:Port          Dst IP Addr:Port     Flags Tos  Packets    Bytes      pps      bps    Bpp Flows
2022-05-02 01:03:10.031    13.202 UDP     197.226.227.80:443   ->         10.0.0.1:56884 ........   0     3850    5.3 M      291    3.2 M   1381     1
2022-05-02 01:15:37.687    13.282 UDP     197.226.227.80:443   ->         10.0.0.1:37761 ........   0     3860    5.3 M      290    3.2 M   1378     1
2022-05-02 01:29:39.099    53.742 UDP      173.194.128.9:443   ->         10.0.0.1:60132 ........   0    15671   21.5 M      291    3.2 M   1370     1
2022-05-02 01:07:41.552    12.330 UDP      173.194.128.9:443   ->         10.0.0.1:39471 ........   0     3534    4.9 M      286    3.2 M   1381     1
2022-05-02 01:28:53.323    13.706 UDP      173.194.128.9:443   ->         10.0.0.1:57846 ........   0     3848    5.3 M      280    3.1 M   1378     1
2022-05-02 01:26:32.188    11.970 UDP      173.194.128.9:443   ->         10.0.0.1:57846 ........   0     3293    4.5 M      275    3.0 M   1378     1
2022-05-02 01:09:14.642    13.226 UDP      173.194.128.9:443   ->         10.0.0.1:39471 ........   0     3534    4.9 M      267    3.0 M   1381     1
2022-05-02 01:31:53.369    29.412 UDP      173.194.128.9:443   ->         10.0.0.1:60132 ........   0     7900   10.9 M      268    3.0 M   1373     1
2022-05-02 01:29:35.549     1.662 UDP     197.226.227.80:443   ->         10.0.0.1:33266 ........   0      442   600409      265    2.9 M   1358     1
2022-05-02 01:29:36.492     0.180 UDP         10.0.0.254:50487 ->         10.0.0.1:9000  ........   0       47    64392      261    2.9 M   1370     1
2022-05-02 01:29:07.229     0.064 UDP     197.226.227.80:443   ->         10.0.0.1:33266 ........   0       28    22640      437    2.8 M    808     1
2022-05-02 01:04:00.026    14.606 UDP     197.226.227.80:443   ->         10.0.0.1:56884 ........   0     3720    5.1 M      254    2.8 M   1379     1
2022-05-02 01:23:12.487    15.638 UDP      173.194.128.9:443   ->         10.0.0.1:44258 ........   0     3852    5.3 M      246    2.7 M   1381     1
2022-05-02 01:12:12.314    15.262 UDP      173.194.128.9:443   ->         10.0.0.1:39471 ........   0     3740    5.2 M      245    2.7 M   1381     1
2022-05-02 01:25:13.022    42.044 UDP      173.194.128.9:443   ->         10.0.0.1:44258 ........   0    10052   13.8 M      239    2.6 M   1377     1
